Voltage,ADC Buffer Value,Time
2.625,896.0,5.27506160736084
2.625,896.0,5.294517278671265
2.61328125,892.0,5.314324855804443
2.625,896.0,5.3349268436431885
2.625,896.0,5.355103492736816
2.61328125,892.0,5.374273061752319
2.625,896.0,5.394841432571411
2.625,896.0,5.414563179016113
2.625,896.0,5.434128761291504
2.625,896.0,5.45418643951416
2.625,896.0,5.4740149974823
2.61328125,892.0,5.494266510009766
2.625,896.0,5.514379978179932
2.625,896.0,5.53331732749939
2.625,896.0,5.554031848907471
2.61328125,892.0,5.574016332626343
2.61328125,892.0,5.593992233276367
2.61328125,892.0,5.613325119018555
2.61328125,892.0,5.63253927230835
2.61328125,892.0,5.653090953826904
2.625,896.0,5.6725099086761475
2.625,896.0,5.693610668182373
2.61328125,892.0,5.713395833969116
2.625,896.0,5.7335546016693115
2.625,896.0,5.752619743347168
2.61328125,892.0,5.772772550582886
2.61328125,892.0,5.792941570281982
2.61328125,892.0,5.81260871887207
2.61328125,892.0,5.832327365875244
2.61328125,892.0,5.8527326583862305
2.625,896.0,5.872103691101074
2.625,896.0,5.892745494842529
2.61328125,892.0,5.9128100872039795
2.625,896.0,5.932779550552368
2.61328125,892.0,5.952246189117432
2.61328125,892.0,5.972270727157593
2.625,896.0,5.991994619369507
2.625,896.0,6.01174783706665
2.625,896.0,6.032141923904419
2.625,896.0,6.051950216293335
2.625,896.0,6.072153568267822
2.625,896.0,6.092043399810791
2.61328125,892.0,6.111901521682739
2.61328125,892.0,6.131502628326416
2.625,896.0,6.151575326919556
2.61328125,892.0,6.171517610549927
2.625,896.0,6.191602945327759
2.625,896.0,6.210815906524658
2.625,896.0,6.23143196105957
2.625,896.0,6.2507240772247314
2.625,896.0,6.270799160003662
2.625,896.0,6.291137933731079
2.625,896.0,6.311169862747192
2.625,896.0,6.32987904548645
2.61328125,892.0,6.350341320037842
2.625,896.0,6.370669603347778
2.61328125,892.0,6.390583515167236
2.625,896.0,6.410533428192139
2.625,896.0,6.430466413497925
2.625,896.0,6.450358867645264
2.625,896.0,6.470219135284424
2.61328125,892.0,6.489753484725952
2.625,896.0,6.509674549102783
2.61328125,892.0,6.529480218887329
2.6162109375,893.0,6.549493074417114
2.625,896.0,6.569422960281372
2.61328125,892.0,6.589332103729248
2.625,896.0,6.609513282775879
2.625,896.0,6.629374980926514
2.61328125,892.0,6.649161100387573
2.61328125,892.0,6.669424772262573
2.625,896.0,6.689526081085205
2.625,896.0,6.709309816360474
2.61328125,892.0,6.729590654373169
2.61328125,892.0,6.74949049949646
2.625,896.0,6.768815994262695
2.625,896.0,6.78870701789856
2.625,896.0,6.8085925579071045
2.625,896.0,6.82879638671875
2.61328125,892.0,6.849071741104126
2.61328125,892.0,6.868304252624512
2.61328125,892.0,6.888974189758301
2.61328125,892.0,6.908097267150879
2.625,896.0,6.928175210952759
2.625,896.0,6.948711156845093
2.61328125,892.0,6.968655586242676
2.625,896.0,6.988647937774658
2.61328125,892.0,7.008521556854248
2.625,896.0,7.028512001037598
2.61328125,892.0,7.048278570175171
2.61328125,892.0,7.06815767288208
2.625,896.0,7.0881500244140625
2.625,896.0,7.107679605484009
2.61328125,892.0,7.128232955932617
2.625,896.0,7.147104501724243
2.61328125,892.0,7.16795015335083
2.61328125,892.0,7.187875986099243
2.61328125,892.0,7.207181453704834
2.625,896.0,7.2269957065582275
2.625,896.0,7.24765157699585
2.61328125,892.0,7.267378091812134
2.61328125,892.0,7.287329912185669
2.625,896.0,7.306761980056763
2.625,896.0,7.327193737030029
